"","tm","attendance","attend_per_game","batage","page","bpf","ppf","n_hof","n_aallstars","n_a_ta_s","est_payroll","time","managers","year","g","w","wins_losses"
"240","CLE",653293,7967,"27.5","27.9","100","100","0","1","21",211250,"2:39","Strickland and Tebbetts",1964,164,79,0.488
"241","DET",816139,9953,"27.5","26.9","102","101","1","3","12",NA,"2:35","Dressen",1964,163,85,0.525
"242","HOU",725773,8960,"28.0","30.9","94","97","2","1","13",NA,"2:21","Craft and Harris",1964,162,66,0.407
"243","KCA",642478,7932,"26.5","26.6","104","106","0","2","10",NA,"2:40","Lopat and McGaha",1964,163,57,0.352
"244","LAA",760439,9388,"27.3","26.3","90","91","0","2","12",256300,"2:31","Rigney",1964,162,82,0.506
"245","LAD",2228751,27515,"26.9","25.6","93","91","2","2","15",434700,"2:34","Alston",1964,164,80,0.494
"246","MIN",1207514,14726,"26.9","27.3","101","99","1","5","14",249750,"2:45","Mele",1964,163,79,0.488
"247","MLN",910911,11246,"27.5","27.9","101","100","5","2","16",NA,"2:32","Bragan",1964,162,88,0.543
"248","NYM",1732597,21129,"26.9","26.2","96","100","0","1","8",NA,"2:39","Stengel",1964,163,53,0.327
"249","NYY",1305638,16119,"28.2","26.9","102","100","2","5","16",337000,"2:36","Berra",1964,164,99,0.611
"250","PHI",1425891,17604,"26.8","26.9","99","98","1","3","17",NA,"2:39","Mauch",1964,162,92,0.568
"251","PIT",759496,9376,"27.8","28.8","99","99","3","4","13",NA,"2:31","Murtaugh",1964,162,80,0.494
"252","SFG",1504364,18572,"27.4","27.7","102","100","6","3","17",NA,"2:39","Dark",1964,162,90,0.556
"253","STL",1143294,14115,"27.9","29.2","109","108","2","4","13",NA,"2:33","Keane",1964,162,93,0.574
"254","WSA",600106,7409,"28.6","27.5","100","103","0","1","10",NA,"2:33","Hodges",1964,162,62,0.383
"255","BAL",781649,9894,"27.4","27.4","102","100","4","2","17",331500,"2:32","Bauer",1965,162,94,0.58
"256","BOS",652201,8052,"26.7","26.5","106","108","1","2","10",NA,"2:37","Herman",1965,162,62,0.383
"257","CAL",566727,7084,"26.4","25.0","97","97","0","1","14",270900,"2:31","Rigney",1965,162,75,0.463
"258","CHC",641361,7727,"27.9","29.7","102","104","3","3","15",NA,"2:36","Kennedy and Klein",1965,164,72,0.444
"259","CHW",1130519,13957,"27.9","27.8","93","91","1","2","15",319650,"2:34","Lopez",1965,162,95,0.586
"260","CIN",1047824,12936,"26.2","27.2","107","106","2","6","15",NA,"2:45","Sisler",1965,162,89,0.549
"261","CLE",934786,11400,"27.8","27.1","101","101","0","4","18",296500,"2:40","Tebbetts",1965,162,87,0.537
"262","DET",1029645,12712,"26.8","26.9","101","101","1","4","12",363400,"2:35","Swift and Dressen",1965,162,89,0.549
"263","HOU",2151470,26561,"26.9","28.5","92","94","3","1","15",NA,"2:30","Harris",1965,162,65,0.401
"264","KCA",528344,6523,"25.9","26.5","99","101","2","1","11",306100,"2:39","McGaha and Sullivan",1965,162,59,0.364
"265","LAD",2553577,31526,"27.9","27.6","93","92","2","3","14",368500,"2:36","Alston",1965,162,97,0.599
"266","MIN",1463258,18065,"27.4","28.5","105","103","1","6","14",354350,"2:41","Mele",1965,162,102,0.63
"267","MLN",555584,6859,"28.0","26.5","100","99","4","2","13",NA,"2:37","Bragan",1965,162,86,0.531
"268","NYM",1768389,21566,"26.5","27.3","95","99","2","1","11",275000,"2:39","Stengel and Westrum",1965,164,50,0.309
"269","NYY",1213552,14621,"28.3","27.2","99","98","2","5","15",460200,"2:29","Keane",1965,162,77,0.475
"270","PHI",1166376,14580,"27.1","29.0","98","97","2","3","17",NA,"2:46","Mauch",1965,162,85,0.528
"271","PIT",909279,11089,"28.1","29.6","100","99","3","3","13",NA,"2:36","Walker",1965,163,90,0.556
"272","SFG",1546075,19087,"26.7","28.8","103","102","6","2","16",NA,"2:37","Franks",1965,163,95,0.586
"273","STL",1241201,15323,"28.4","28.9","109","109","3","1","14",308000,"2:39","Schoendienst",1965,162,80,0.497
"274","WSA",560083,6915,"28.4","28.0","98","100","0","1","11",263700,"2:36","Hodges",1965,162,70,0.432
"275","ATL",1539801,18778,"28.2","27.9","103","102","4","3","17",NA,"2:39","Bragan and Hitchcock",1966,163,85,0.525
"276","BAL",1203366,15232,"27.0","25.7","99","98","4","4","13",341550,"2:39","Bauer",1966,160,97,0.606
"277","BOS",811172,10014,"25.3","27.4","111","111","1","2","13",257000,"2:40","Herman and Runnels",1966,162,72,0.444
"278","CAL",1400321,17288,"26.3","27.9","97","97","0","2","15",234500,"2:39","Rigney",1966,162,80,0.494
"279","CHC",635891,7851,"26.6","26.9","101","102","5","1","18",NA,"2:37","Durocher",1966,162,59,0.364
"280","CHW",990016,12222,"28.2","27.8","93","92","1","1","14",272250,"2:37","Stanky",1966,163,83,0.512
"281","CIN",742958,9405,"26.3","27.5","110","109","1","2","15",NA,"2:38","Heffner and Bristol",1966,160,76,0.475
"282","CLE",903359,11153,"28.7","26.5","100","100","0","4","19",235000,"2:39","Tebbetts and Strickland",1966,162,81,0.5
"283","DET",1124293,13880,"27.7","28.3","103","101","1","5","13",411000,"2:40","Dressen, Swift and Skaff",1966,162,88,0.543
"284","HOU",1872108,23112,"25.7","28.2","93","95","2","2","13",NA,"2:28","Hatton",1966,163,72,0.444
"285","KCA",773929,9555,"25.5","24.4","97","99","1","1","9",248800,"2:38","Dark",1966,160,74,0.463
"286","LAD",2617029,32309,"28.3","26.9","92","91","3","4","16",807500,"2:33","Alston",1966,162,95,0.586
"287","MIN",1259374,15548,"27.8","28.2","107","105","1","4","13",377250,"2:30","Mele",1966,162,89,0.549
"288","NYM",1932693,23860,"26.9","26.0","97","101","1","1","15",284350,"2:40","Westrum",1966,161,66,0.41
"289","NYY",1124648,13715,"28.4","26.9","95","96","2","2","16",476500,"2:30","Keane and Houk",1966,160,70,0.44
"290","PHI",1108201,13681,"29.1","30.1","100","100","2","2","18",NA,"2:45","Mauch",1966,162,87,0.537
"291","PIT",1196618,14773,"28.2","29.1","100","99","3","3","14",NA,"2:37","Walker",1966,162,92,0.568
"292","SFG",1657192,20459,"26.7","28.0","104","103","5","6","13",386500,"2:32","Franks",1966,161,93,0.578
"293","STL",1712980,21148,"26.8","27.5","100","100","4","3","13",NA,"2:32","Schoendienst",1966,162,83,0.512
"294","WSA",576260,7388,"27.5","26.9","99","101","0","1","9",162800,"2:35","Hodges",1966,159,71,0.447
"295","ATL",1389222,17151,"28.6","28.1","99","99","3","3","14",NA,"2:37","Hitchcock and Silvestri",1967,162,77,0.475
"296","BAL",955053,12403,"26.9","26.0","100","98","4","3","15",368000,"2:35","Bauer",1967,161,76,0.472
"297","BOS",1727832,21331,"25.4","27.2","109","109","1","4","17",237200,"2:39","Williams",1967,162,92,0.568
"298","CAL",1317713,15876,"27.1","28.1","95","96","0","3","12",316000,"2:37","Rigney",1967,161,84,0.522
"299","CHC",977226,11634,"27.5","25.1","105","105","4","2","16",NA,"2:40","Durocher",1967,162,87,0.54
"300","CHW",985634,12020,"28.3","28.8","94","93","1","4","16",496550,"2:42","Stanky",1967,162,89,0.549
"301","CIN",958300,11831,"26.6","26.3","112","112","2","3","15",231500,"2:34","Bristol",1967,162,87,0.537
"302","CLE",662980,8185,"28.6","26.9","102","102","0","2","17",261100,"2:45","Adcock",1967,162,75,0.463
"303","DET",1447143,17648,"28.3","27.6","103","101","2","3","17",316000,"2:39","Smith",1967,163,91,0.562
"304","HOU",1348303,16646,"26.0","26.4","96","97","2","3","14",NA,"2:37","Hatton",1967,162,69,0.426
"305","KCA",726639,8971,"24.8","23.5","98","99","2","1","10",190700,"2:34","Dark and Appling",1967,161,62,0.385
"306","LAD",1664362,20548,"27.5","27.0","91","91","2","2","13",378500,"2:37","Alston",1967,162,73,0.451
"307","MIN",1483547,18315,"28.0","27.5","109","108","2","4","12",431000,"2:33","Mele and Ermer",1967,164,91,0.562
"308","NYM",1565492,20070,"25.8","26.3","98","100","1","1","14",324400,"2:34","Westrum and Parker",1967,162,61,0.377
"309","NYY",1259514,15360,"28.0","27.0","95","96","2","2","14",423650,"2:37","Houk",1967,163,72,0.444
"310","PHI",828888,10361,"28.8","30.6","101","101","1","2","17",NA,"2:38","Mauch",1967,162,82,0.506
"311","PIT",907012,11198,"29.2","29.1","100","99","3","3","15",NA,"2:36","Walker and Murtaugh",1967,163,81,0.5
"312","SFG",1242480,15152,"27.2","28.6","100","99","4","3","13",404000,"2:36","Franks",1967,162,91,0.562
"313","STL",2090145,25804,"27.8","26.9","99","97","4","4","13",416500,"2:34","Schoendienst",1967,161,101,0.627
"314","WSA",770868,9636,"26.7","26.4","96","98","0","1","8",221000,"2:40","Hodges",1967,161,76,0.472
"315","ATL",1126540,13908,"28.7","27.5","101","101","3","3","12",NA,"2:28","Harris",1968,163,81,0.5
"316","BAL",943977,11800,"26.9","25.9","100","98","2","3","12",273600,"2:35","Bauer and Weaver",1968,162,91,0.562
"317","BOS",1940788,23960,"26.4","27.4","107","107","1","4","17",605000,"2:37","Williams",1968,162,86,0.531
"318","CAL",1025956,12666,"27.5","26.7","95","97","0","1","13",397400,"2:35","Rigney",1968,162,67,0.414
"319","CHC",1043409,12725,"28.4","25.4","107","106","4","3","12",NA,"2:32","Durocher",1968,163,84,0.518
"320","CHW",803775,9923,"28.3","29.7","105","107","2","2","16",384700,"2:34","Stanky, Moss and Lopez",1968,162,67,0.414
"321","CIN",733354,8943,"26.5","27.1","106","106","2","5","15",NA,"2:39","Bristol",1968,163,83,0.512
"322","CLE",857994,10593,"27.5","27.0","99","100","0","3","16",261800,"2:40","Dark",1968,162,86,0.534
"323","DET",2031847,25085,"28.0","26.8","103","101","2","4","14",501100,"2:38","Smith",1968,164,103,0.636
"324","HOU",1312887,16208,"25.6","26.3","97","99","1","1","13",NA,"2:31","Hatton and Walker",1968,162,72,0.444
"325","LAD",1581093,19520,"27.9","26.9","92","92","2","2","16",NA,"2:31","Alston",1968,162,76,0.469
"326","MIN",1143257,14114,"28.2","27.9","106","105","2","3","12",493900,"2:32","Ermer",1968,162,79,0.488
"327","NYM",1781657,21728,"26.0","26.1","100","101","2","3","8",NA,"2:34","Hodges",1968,163,73,0.451
"328","NYY",1185666,14459,"28.0","27.1","95","96","2","2","15",409000,"2:29","Houk",1968,164,83,0.512
"329","OAK",837466,10090,"24.8","24.0","94","93","4","3","9",NA,"2:34","Kennedy",1968,163,82,0.506
"330","PHI",664546,8204,"29.2","29.2","100","101","0","1","13",NA,"2:31","Mauch, Myatt and Skinner",1968,162,76,0.469
"331","PIT",693485,8562,"29.7","29.4","98","97","4","2","17",NA,"2:37","Shepard",1968,163,80,0.494
"332","SFG",837220,10336,"27.9","29.0","101","100","4","3","13",557000,"2:34","Franks",1968,163,88,0.543
"333","STL",2011167,24829,"28.7","27.0","99","97","4","4","11",651600,"2:24","Schoendienst",1968,162,97,0.599
"334","WSA",546661,6749,"26.9","26.9","96","97","0","1","7",244500,"2:35","Lemon",1968,161,65,0.404
"335","ATL",1458320,18004,"29.1","27.5","101","101","4","3","14",NA,"2:26","Harris",1969,162,93,0.574
"336","BAL",1062069,13112,"28.2","27.7","101","98","3","6","13",NA,"2:30","Weaver",1969,162,109,0.673
"337","BOS",1833246,22633,"26.1","26.5","106","106","2","5","19",354300,"2:40","Williams and Popowski",1969,162,87,0.537
"338","CAL",758388,9363,"26.2","26.6","94","95","1","1","12",329000,"2:30","Rigney and Phillips",1969,163,71,0.438
"339","CHC",1674993,20427,"29.1","27.6","113","112","4","5","14",NA,"2:32","Durocher",1969,163,92,0.568
"340","CHW",589546,7278,"27.2","28.4","106","107","1","1","15",297250,"2:30","Lopez and Gutteridge",1969,162,68,0.42
"341","CIN",987991,12197,"26.3","27.3","105","104","2","4","12",NA,"2:35","Bristol",1969,163,89,0.549
"342","CLE",619970,7654,"27.3","27.3","103","103","0","1","16",497500,"2:37","Dark",1969,161,62,0.385
"343","DET",1577481,19475,"28.8","28.1","105","103","1","3","13",397000,"2:33","Smith",1969,162,90,0.556
"344","HOU",1442995,17815,"26.5","25.6","98","98","1","2","12",NA,"2:35","Walker",1969,162,81,0.5
"345","KCR",902414,11005,"25.7","25.2","100","101","0","1","4",453700,"2:28","Gordon",1969,163,69,0.426
"346","LAD",1784527,22031,"27.4","27.3","93","92","3","1","15",NA,"2:31","Alston",1969,162,85,0.525
"347","MIN",1349328,16658,"28.9","28.9","104","102","2","4","10",526000,"2:45","Martin",1969,162,97,0.599
"348","MON",1212608,14970,"27.6","26.8","100","102","0","1","9",NA,"2:33","Mauch",1969,162,52,0.321
"349","NYM",2175373,26529,"25.9","25.8","102","101","2","3","10",NA,"2:32","Hodges",1969,162,100,0.617
"350","NYY",1067996,13350,"26.8","26.6","96","96","1","2","10",350500,"2:28","Houk",1969,162,80,0.497
"351","OAK",778232,9608,"26.2","24.3","95","94","4","3","14",279400,"2:36","Bauer and McNamara",1969,162,88,0.543
"352","PHI",519414,6413,"27.1","26.1","98","99","0","1","11",NA,"2:25","Skinner and Myatt",1969,162,63,0.389
"353","PIT",769369,9498,"27.2","28.2","98","97","4","2","14",NA,"2:30","Shepard and Grammas",1969,162,88,0.543
"354","SDP",512970,6333,"26.2","24.9","96","98","0","1","7",NA,"2:28","Gomez",1969,162,52,0.321
"355","SEP",677944,8268,"28.0","28.4","97","99","0","2","11",612500,"2:43","Schultz",1969,163,64,0.395
"356","SFG",873603,10785,"27.9","29.5","99","98","4","3","13",NA,"2:39","King",1969,162,90,0.556
"357","STL",1682783,21035,"29.1","27.9","100","99","4","2","15",676100,"2:22","Schoendienst",1969,162,87,0.537
"358","WSA",918106,11335,"27.8","27.0","94","95","0","2","8",NA,"2:33","Williams",1969,162,86,0.531
"359","ATL",1078848,13319,"29.5","28.7","105","105","4","4","13",NA,"2:33","Harris",1970,162,76,0.469
"360","BAL",1057069,13050,"28.8","28.5","101","98","3","7","15",NA,"2:34","Weaver",1970,162,108,0.667
"361","BOS",1595278,19695,"26.5","27.9","108","107","1","2","15",584500,"2:34","Kasko",1970,162,87,0.537
"362","CAL",1077741,13305,"26.7","26.0","96","97","0","4","10",386800,"2:35","Phillips",1970,162,86,0.531
"363","CHC",1642705,20534,"30.0","27.7","111","110","5","3","21",NA,"2:34","Durocher",1970,162,84,0.518
"364","CHW",495355,5897,"27.0","27.0","101","102","1","1","10",306000,"2:29","Gutteridge, Adair and Tanner",1970,162,56,0.346
"365","CIN",1803568,22266,"25.9","25.2","104","103","2","5","13",NA,"2:31","Anderson",1970,162,102,0.63
"366","CLE",729752,9009,"26.2","25.9","104","105","0","2","10",551320,"2:36","Dark",1970,162,76,0.469
"367","DET",1501293,18534,"28.8","26.6","101","101","1","2","10",377100,"2:39","Smith",1970,162,79,0.488
"368","HOU",1253444,15475,"26.6","26.3","96","96","1","2","16",NA,"2:36","Walker",1970,162,79,0.488
"369","KCR",693047,8773,"26.4","26.2","99","100","0","1","6",NA,"2:36","Metro and Lemon",1970,162,65,0.401
"370","LAD",1697142,20952,"27.9","26.7","95","94","1","2","16",NA,"2:36","Alston",1970,161,87,0.54
"371","MIL",933690,11527,"29.2","27.8","100","101","0","1","11",302200,"2:36","Bristol",1970,163,65,0.401
"372","MIN",1261887,15579,"28.6","28.1","103","102","3","4","10",493500,"2:38","Rigney",1970,162,98,0.605
"373","MON",1424683,17809,"27.7","26.7","99","101","0","1","6",NA,"2:35","Mauch",1970,162,73,0.451
"374","NYM",2697479,32896,"26.5","26.1","100","99","2","2","11",NA,"2:36","Hodges",1970,162,83,0.512
"375","NYY",1136879,14036,"27.0","27.5","95","95","0","3","8",371000,"2:30","Houk",1970,163,93,0.574
"376","OAK",778355,9609,"27.7","27.2","97","95","4","1","17",480100,"2:31","McNamara",1970,162,89,0.549
"377","PHI",708247,8853,"26.7","28.8","97","99","1","1","13",NA,"2:33","Lucchesi",1970,161,73,0.453
"378","PIT",1341947,16365,"27.7","27.9","97","96","3","1","14",NA,"2:30","Murtaugh",1970,162,89,0.549
"379","SDP",643679,7947,"26.6","26.4","95","98","0","1","5",NA,"2:32","Gomez",1970,162,63,0.389
"380","SFG",740720,9145,"28.0","28.4","99","99","4","4","12",NA,"2:48","King and Fox",1970,162,86,0.531
"381","STL",1629736,20120,"27.7","26.4","102","102","4","3","12",534500,"2:31","Schoendienst",1970,162,76,0.469
"382","WSA",824789,10183,"28.1","27.6","95","95","0","1","9",393200,"2:33","Williams",1970,162,70,0.432
"383","ATL",1006320,12272,"27.2","28.5","106","107","5","2","11",NA,"2:26","Harris",1971,162,82,0.506
"384","BAL",1023037,13286,"29.9","29.5","99","97","3","6","16",594500,"2:25","Weaver",1971,158,101,0.639
"385","BOS",1678732,20984,"27.9","29.1","108","107","3","3","17",546167,"2:27","Kasko",1971,162,85,0.525
"386","CAL",926373,11437,"27.8","26.4","92","93","0","1","13",522838,"2:31","Phillips",1971,162,76,0.469
"387","CHC",1653007,20407,"30.2","28.7","113","112","4","4","18",NA,"2:26","Durocher",1971,162,83,0.512
"388","CHW",833891,10295,"25.6","25.9","103","104","0","2","8",391000,"2:30","Tanner",1971,162,79,0.488
"389","CIN",1501122,18532,"26.8","25.1","95","94","2","4","14",NA,"2:21","Anderson",1971,162,79,0.488
"390","CLE",591361,7301,"26.3","25.1","109","110","0","2","10",489400,"2:36","Dark and Lipon",1971,162,60,0.37
"391","DET",1591073,19643,"29.6","26.7","105","104","1","4","11",457700,"2:42","Martin",1971,162,91,0.562
"392","HOU",1261589,15575,"26.1","26.5","97","97","1","2","13",NA,"2:27","Walker",1971,162,79,0.488
"393","KCR",910784,11244,"27.2","26.7","98","98","0","2","7",NA,"2:29","Lemon",1971,161,85,0.528
"394","LAD",2064594,25489,"28.7","28.4","94","93","2","1","19",NA,"2:28","Alston",1971,162,89,0.549
"395","MIL",731531,8921,"27.1","26.0","98","99","0","1","8",491500,"2:29","Bristol",1971,161,69,0.429
"396","MIN",940858,11910,"28.5","27.3","103","102","3","5","8",657600,"2:36","Rigney",1971,160,74,0.463
"397","MON",1290963,16137,"28.3","27.0","99","101","0","1","7",NA,"2:27","Mauch",1971,162,71,0.441
"398","NYM",2266680,27984,"26.6","26.1","98","98","2","2","12",NA,"2:28","Hodges",1971,162,83,0.512
"399","NYY",1070771,13219,"28.3","27.3","94","94","0","2","8",NA,"2:28","Houk",1971,162,82,0.506
"400","OAK",914993,11296,"26.8","26.5","98","96","4","3","18",490600,"2:34","Williams",1971,161,101,0.627
"401","PHI",1511223,18657,"26.3","28.6","100","102","1","1","13",NA,"2:29","Lucchesi",1971,162,67,0.414
"402","PIT",1501132,18764,"27.7","27.7","102","99","3","4","14",NA,"2:27","Murtaugh",1971,162,97,0.599
"403","SDP",557513,6883,"26.4","26.3","93","95","0","1","4",NA,"2:25","Gomez",1971,161,61,0.379
"404","SFG",1106043,13655,"27.3","28.5","99","99","4","4","12",NA,"2:38","Fox",1971,162,90,0.556
"405","STL",1604671,19569,"28.5","27.1","104","104","4","3","10",NA,"2:26","Schoendienst",1971,163,90,0.556
"406","WSA",655156,8088,"27.6","26.4","93","95","0","1","11",639400,"2:28","Williams",1971,159,63,0.396
"407","ATL",752973,9654,"27.2","28.2","109","109","3","1","13",NA,"2:27","Harris and Mathews",1972,155,70,0.455
"408","BAL",899950,11688,"28.8","28.8","103","100","2","5","17",592000,"2:23","Weaver",1972,154,80,0.519
"409","BOS",1441718,18484,"28.9","28.9","106","105","3","4","19",566117,"2:34","Kasko",1972,155,85,0.548
"410","CAL",744190,9302,"29.2","27.5","94","95","1","1","12",507500,"2:23","Rice",1972,155,75,0.484
"411","CHC",1299163,16872,"30.0","28.7","110","109","3","5","16",NA,"2:28","Durocher and Lockman",1972,156,85,0.548
"412","CHW",1177318,15094,"26.6","26.0","103","103","1","3","11",468750,"2:31","Tanner",1972,154,87,0.565
"413","CIN",1611459,21203,"27.2","25.5","94","93","3","4","16",NA,"2:26","Anderson",1972,154,95,0.617
"414","CLE",626354,8134,"25.4","26.6","104","105","1","1","9",513350,"2:31","Aspromonte",1972,156,72,0.462
"415","DET",1892386,24261,"30.7","27.8","103","103","1","4","14",621300,"2:33","Martin",1972,156,86,0.551
"416","HOU",1469247,19081,"27.4","26.3","98","97","0","2","11",NA,"2:30","Walker, Parker and Durocher",1972,153,84,0.549
"417","KCR",707656,9190,"27.7","27.4","99","98","0","5","10",NA,"2:31","Lemon",1972,154,76,0.493
"418","LAD",1860858,24811,"28.6","30.3","98","97","3","1","23",NA,"2:28","Alston",1972,155,85,0.548
"419","MIL",600440,7601,"26.6","25.9","97","98","0","1","9",361550,"2:24","Bristol, McMillan and Crandall",1972,156,65,0.417
"420","MIN",797901,10782,"27.4","26.9","105","105","3","1","7",522450,"2:32","Rigney and Quilici",1972,154,77,0.5
"421","MON",1142145,14643,"26.9","25.9","101","102","0","1","7",NA,"2:25","Mauch",1972,156,70,0.449
"422","NYM",2134185,27361,"27.3","26.1","97","97","2","3","13",NA,"2:30","Berra",1972,156,83,0.532
"423","NYY",966328,12550,"28.7","28.1","97","96","0","1","9",374700,"2:27","Houk",1972,155,79,0.51
"424","OAK",921323,11965,"27.7","27.0","95","93","4","6","18",997506,"2:27","Williams",1972,155,93,0.6
"425","PHI",1343329,17004,"26.1","27.0","102","104","2","1","12",NA,"2:20","Lucchesi and Owens",1972,156,59,0.378
"426","PIT",1427460,18301,"28.1","27.9","98","97","3","5","13",NA,"2:27","Virdon",1972,155,96,0.619
"427","SDP",644273,8053,"25.1","25.2","92","95","0","1","4",NA,"2:31","Gomez and Zimmer",1972,153,58,0.379
"428","SFG",647744,8412,"25.5","27.0","102","101","3","1","11",NA,"2:29","Fox",1972,155,69,0.445
"429","STL",1196894,15544,"27.6","27.9","99","99","3","4","9",NA,"2:19","Schoendienst",1972,156,75,0.481
"430","TEX",662974,8610,"26.2","25.6","96","98","0","1","6",194700,"2:30","Williams",1972,154,54,0.351
"431","ATL",800655,9885,"28.0","28.2","108","108","2","3","13",NA,"2:34","Mathews",1973,162,76,0.472
"432","BAL",958667,11835,"28.3","28.8","99","97","2","2","15",686000,"2:33","Weaver",1973,162,97,0.599
"433","BOS",1481002,18284,"29.5","28.3","106","105","4","3","17",772917,"2:35","Kasko and Popowski",1973,162,89,0.549
"434","CAL",1058206,13064,"29.7","28.3","91","92","2","2","14",516650,"2:28","Winkles",1973,162,79,0.488
"435","CHC",1351705,16896,"30.2","27.6","107","107","4","2","17",NA,"2:28","Lockman",1973,161,77,0.478
"436","CHW",1302527,16081,"26.0","27.6","104","105","1","2","15",587700,"2:33","Tanner",1973,162,77,0.475
"437","CIN",2017601,24909,"27.7","26.7","95","93","3","5","14",NA,"2:27","Anderson",1973,162,99,0.611
"438","CLE",615107,7594,"24.7","28.6","102","103","1","1","7",614450,"2:39","Aspromonte",1973,162,71,0.438
"439","DET",1724146,21286,"31.5","30.4","106","106","1","3","15",636500,"2:35","Martin and Schultz",1973,162,85,0.525
"440","HOU",1394004,17210,"28.0","26.3","99","98","0","2","14",NA,"2:25","Durocher",1973,162,82,0.506
"441","KCR",1345341,16609,"27.6","25.9","106","106","1","3","12",452600,"2:40","McKeon",1973,162,88,0.543
"442","LAD",2136192,26373,"27.0","29.9","96","95","1","6","17",NA,"2:26","Alston",1973,162,95,0.59
"443","MIL",1092158,13483,"25.8","26.0","97","98","0","2","9",309900,"2:37","Crandall",1973,162,74,0.457
"444","MIN",907499,11204,"27.9","26.6","104","103","3","2","7",485500,"2:38","Quilici",1973,162,81,0.5
"445","MON",1246863,15393,"27.7","26.2","103","103","0","1","7",NA,"2:33","Mauch",1973,162,79,0.488
"446","NYM",1912390,23610,"27.9","27.2","98","99","2","2","13",NA,"2:29","Berra",1973,161,82,0.509
"447","NYY",1262103,15582,"30.0","29.4","96","96","0","3","16",863300,"2:27","Houk",1973,162,80,0.494
"448","OAK",1000763,12355,"28.3","26.8","95","93","3","6","18",981250,"2:30","Williams",1973,162,94,0.58
"449","PHI",1475934,18221,"26.5","26.4","102","103","2","1","11",NA,"2:25","Ozark",1973,162,71,0.438
"450","PIT",1319913,16295,"27.1","28.8","98","96","1","2","11",NA,"2:27","Virdon and Murtaugh",1973,162,80,0.494
"451","SDP",611826,7553,"25.2","25.4","91","94","1","1","6",NA,"2:23","Zimmer",1973,162,60,0.37
"452","SFG",834193,10299,"25.6","26.8","104","105","2","2","9",NA,"2:34","Fox",1973,162,88,0.543
"453","STL",1574046,19433,"27.0","28.6","100","100","3","3","13",775325,"2:23","Schoendienst",1973,162,81,0.5
"454","TEX",686085,8470,"26.5","26.1","95","97","0","2","12",473600,"2:30","Herzog, Wilber and Martin",1973,162,57,0.352
"455","ATL",981085,12112,"28.1","29.5","104","104","2","3","10",NA,"2:25","Mathews and King",1974,163,88,0.543
"456","BAL",962572,11884,"28.9","28.7","97","95","2","3","16",NA,"2:31","Weaver",1974,162,91,0.562
"457","BOS",1556411,19215,"27.7","29.2","108","107","4","3","16",879500,"2:34","Johnson",1974,162,84,0.518
"458","CAL",917269,11324,"27.6","25.6","94","94","2","2","11",670500,"2:26","Winkles, Herzog and Williams",1974,163,68,0.42
"459","CHC",1015378,12536,"27.1","25.5","103","105","1","1","12",NA,"2:41","Lockman and Marshall",1974,162,66,0.407
"460","CHW",1149596,14019,"26.7","28.2","103","104","2","3","12",815000,"2:30","Tanner",1974,163,80,0.5
"461","CIN",2164307,26394,"27.7","27.3","99","96","3","4","10",NA,"2:30","Anderson",1974,163,98,0.605
"462","CLE",1114262,13756,"25.8","31.5","99","100","2","2","10",668175,"2:28","Aspromonte",1974,162,77,0.475
"463","DET",1243080,15347,"30.0","28.9","102","104","1","2","13",559500,"2:25","Houk",1974,162,72,0.444
"464","HOU",1090728,13466,"26.8","27.6","95","95","0","1","11",NA,"2:25","Gomez",1974,162,81,0.5
"465","KCR",1173292,14485,"27.5","28.6","105","105","2","3","15",539100,"2:35","McKeon",1974,162,77,0.475
"466","LAD",2632474,32500,"27.1","28.9","96","94","1","5","16",NA,"2:33","Alston",1974,162,102,0.63
"467","MIL",955741,11799,"26.5","26.1","99","99","1","2","13",NA,"2:28","Crandall",1974,162,76,0.469
"468","MIN",662401,8078,"28.1","26.4","104","104","3","1","8",535300,"2:33","Quilici",1974,163,82,0.506
"469","MON",1019134,12739,"27.7","25.8","105","106","1","1","7",NA,"2:24","Mauch",1974,161,79,0.491
"470","NYM",1722209,21262,"27.8","28.2","99","99","1","2","10",NA,"2:28","Berra",1974,162,71,0.438
"471","NYY",1273075,15717,"27.7","28.4","99","98","0","2","17",1046000,"2:34","Virdon",1974,162,89,0.549
"472","OAK",845693,10441,"28.6","27.1","94","92","3","6","16",1150232,"2:25","Dark",1974,162,90,0.556
"473","PHI",1808648,22329,"26.7","27.6","104","104","2","4","15",NA,"2:30","Ozark",1974,162,80,0.494
"474","PIT",1110552,13711,"27.1","27.7","96","95","1","1","12",NA,"2:29","Murtaugh",1974,162,88,0.543
"475","SDP",1075399,13277,"26.5","24.8","95","98","2","1","9",NA,"2:33","McNamara",1974,162,60,0.37
"476","SFG",519987,6420,"25.2","25.3","105","105","0","1","8",NA,"2:27","Fox and Westrum",1974,162,72,0.444
"477","STL",1838413,22696,"27.8","28.9","100","99","3","4","17",NA,"2:27","Schoendienst",1974,161,86,0.534
"478","TEX",1193902,14924,"27.1","28.1","97","98","1","2","15",579500,"2:32","Martin",1974,161,84,0.525
"479","ATL",534672,6683,"27.2","29.5","103","104","1","1","10",NA,"2:24","King and Ryan",1975,161,67,0.416
"480","BAL",1002157,13015,"30.3","29.1","94","93","2","1","18",NA,"2:30","Weaver",1975,159,90,0.566
"481","BOS",1748587,21587,"26.9","28.8","109","109","3","2","14",1355000,"2:33","Johnson",1975,160,95,0.594
